school,sex,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,famrel,freetime,goout,Dalc,health,absences,G1,G2,G3,Feature_1,Feature_2,Feature_3,romantic
GP,F,U,GT3,A,4,4.0,at_home,teacher,course,mother,2.0,0,yes,no,no,no,yes,yes,no,4,3.0,4,1,3,4.0,0,11.0,11,18.0,2.0,1.0,no
GP,F,U,GT3,T,1,1.0,at_home,other,course,father,1.0,0,no,yes,no,no,no,yes,yes,5,3.0,3,1,3,2.0,9,11.0,11,17.0,2.0,1.0,no
GP,F,U,LE3,T,1,1.0,at_home,other,other,mother,1.0,0,yes,no,no,no,yes,yes,yes,4,3.0,2,2,3,6.0,12,13.0,12,15.0,2.0,3.0,no
GP,F,U,GT3,T,4,2.0,health,services,home,mother,1.0,0,no,yes,no,yes,yes,yes,yes,3,2.0,2,1,5,0.0,14,14.0,14,15.0,3.0,1.0,yes
GP,F,U,GT3,T,3,3.0,other,other,home,father,1.0,0,no,yes,no,no,yes,yes,no,4,3.0,2,1,5,0.0,11,13.0,13,16.0,2.0,2.0,no
GP,M,U,LE3,T,4,3.0,services,other,reputation,mother,1.0,0,no,yes,no,yes,yes,yes,yes,5,4.0,2,1,5,6.0,12,12.0,13,17.0,2.0,2.0,no
GP,M,U,GT3,T,2,2.0,other,other,home,mother,1.0,0,no,no,no,no,yes,yes,yes,4,4.0,4,1,3,0.0,13,12.0,13,16.0,2.0,1.0,no
GP,F,U,GT3,A,4,4.0,other,teacher,home,mother,1.0,0,yes,yes,no,no,yes,yes,no,4,1.0,4,1,1,2.0,10,13.0,13,17.0,2.0,1.0,no
GP,M,U,LE3,A,3,2.0,services,other,home,mother,1.0,0,no,yes,no,no,yes,yes,yes,4,2.0,2,1,1,0.0,15,16.0,17,15.0,2.0,1.0,no
GP,M,U,GT3,T,3,4.0,other,other,home,mother,1.0,0,no,yes,no,yes,yes,yes,yes,5,5.0,1,1,5,0.0,12,12.0,13,15.0,2.0,1.0,no
GP,F,U,GT3,T,4,4.0,teacher,health,reputation,mother,1.0,0,no,yes,no,no,yes,yes,yes,3,3.0,3,1,2,2.0,14,14.0,14,15.0,2.0,2.0,no
GP,F,U,GT3,T,2,2.0,services,other,reputation,father,3.0,0,no,yes,no,yes,yes,yes,yes,5,2.0,2,1,4,0.0,10,12.0,13,15.0,3.0,1.0,no
GP,M,U,LE3,T,4,4.0,health,services,course,father,1.0,0,no,yes,no,yes,yes,yes,yes,4,3.0,3,1,5,0.0,12,13.0,12,15.0,1.0,3.0,no
GP,M,U,GT3,T,4,3.0,teacher,other,course,mother,2.0,0,no,yes,no,no,yes,yes,yes,5,4.0,3,1,3,0.0,12,12.0,13,15.0,2.0,2.0,no
GP,M,U,GT3,A,2,2.0,other,other,home,other,1.0,0,no,yes,no,no,yes,yes,yes,4,5.0,2,1,3,0.0,14,14.0,15,15.0,3.0,1.0,yes
GP,F,U,GT3,T,4,4.0,health,other,home,mother,1.0,0,no,yes,no,no,yes,yes,yes,4,4.0,4,1,2,6.0,17,17.0,17,16.0,1.0,2.0,no
GP,F,U,GT3,T,4,4.0,services,services,reputation,mother,1.0,0,no,yes,no,yes,yes,yes,yes,3,2.0,3,1,2,10.0,13,13.0,14,16.0,3.0,2.0,no
GP,F,U,GT3,T,3,3.0,other,other,reputation,mother,1.0,0,yes,yes,no,yes,yes,yes,no,5,3.0,2,1,4,2.0,13,14.0,14,16.0,2.0,1.0,no
GP,M,U,GT3,T,3,2.0,services,services,course,mother,1.0,3,no,yes,yes,yes,yes,yes,yes,5,5.0,5,2,5,2.0,8,8.0,7,17.0,1.0,4.0,no
GP,M,U,LE3,T,4,3.0,health,other,home,father,1.0,0,no,no,no,yes,yes,yes,yes,3,1.0,3,1,5,6.0,12,12.0,12,16.0,1.0,1.0,no
GP,M,U,GT3,T,4,3.0,teacher,other,reputation,mother,1.0,0,no,no,no,no,yes,yes,yes,4,4.0,1,1,1,0.0,12,13.0,14,15.0,2.0,1.0,no
GP,M,U,GT3,T,4,4.0,health,health,other,father,1.0,0,no,yes,yes,no,yes,yes,yes,5,4.0,2,1,5,0.0,11,12.0,12,15.0,1.0,1.0,no
GP,M,U,LE3,T,4,2.0,teacher,other,course,mother,1.0,0,no,no,no,yes,yes,yes,yes,4,5.0,1,1,5,0.0,12,13.0,14,16.0,2.0,3.0,no
GP,M,U,GT3,T,2,2.0,other,other,reputation,mother,2.0,0,no,yes,no,yes,yes,yes,yes,5,4.0,4,2,5,2.0,10,10.0,10,16.0,2.0,4.0,no
GP,F,R,GT3,T,2,4.0,services,health,course,mother,1.0,0,yes,yes,no,yes,yes,yes,yes,4,3.0,2,1,5,2.0,10,11.0,10,15.0,3.0,1.0,no
GP,F,U,GT3,T,2,2.0,services,services,home,mother,1.0,0,no,yes,no,no,no,yes,yes,1,2.0,2,1,5,6.0,10,11.0,12,16.0,1.0,3.0,no
GP,M,U,GT3,T,2,2.0,other,other,home,mother,1.0,0,no,yes,no,no,yes,yes,yes,4,2.0,2,1,5,8.0,11,11.0,12,15.0,1.0,2.0,no
GP,M,U,GT3,T,4,2.0,health,services,other,mother,1.0,0,no,no,no,no,yes,yes,yes,2,2.0,4,2,1,0.0,11,11.0,11,17.0,1.0,4.0,no
GP,M,U,LE3,A,3,4.0,services,other,home,mother,1.0,0,yes,yes,yes,yes,yes,yes,yes,5,3.0,3,1,5,2.0,12,12.0,13,16.0,2.0,1.0,no
GP,M,U,GT3,T,4,4.0,teacher,teacher,home,mother,1.0,0,no,yes,yes,yes,yes,yes,yes,4,4.0,5,5,5,4.0,12,11.0,12,17.0,2.0,5.0,yes
GP,M,U,GT3,T,4,4.0,health,services,home,mother,1.0,0,no,yes,yes,no,no,yes,yes,5,4.0,2,3,5,2.0,10,11.0,11,15.0,2.0,4.0,no
GP,M,U,GT3,T,4,4.0,services,services,reputation,mother,2.0,0,no,yes,no,yes,yes,yes,yes,4,3.0,1,1,5,2.0,15,15.0,15,15.0,2.0,1.0,no
GP,M,R,GT3,T,4,2.0,teacher,at_home,course,mother,1.0,0,no,yes,no,yes,yes,yes,yes,4,3.0,2,1,5,2.0,13,14.0,15,15.0,2.0,1.0,yes
GP,M,U,LE3,T,3,3.0,other,other,course,mother,1.0,0,no,no,no,yes,no,yes,yes,5,3.0,2,1,2,0.0,13,12.0,12,15.0,2.0,1.0,no
GP,M,U,GT3,T,3,2.0,other,other,home,mother,1.0,0,no,yes,no,no,no,yes,yes,5,3.0,3,1,5,4.0,12,12.0,12,16.0,1.0,1.0,no
GP,F,U,GT3,T,2,3.0,other,other,other,father,2.0,0,no,yes,no,yes,yes,yes,no,3,5.0,1,1,5,4.0,11,11.0,11,15.0,1.0,1.0,no
GP,M,U,GT3,T,4,3.0,teacher,services,home,mother,1.0,0,no,yes,no,yes,yes,yes,yes,5,4.0,3,1,4,2.0,14,14.0,14,15.0,3.0,1.0,no
GP,M,R,GT3,A,4,4.0,other,teacher,reputation,mother,2.0,0,no,yes,no,yes,yes,yes,yes,2,4.0,3,1,5,4.0,13,13.0,13,16.0,3.0,1.0,yes
GP,F,R,GT3,T,3,4.0,services,health,course,mother,1.0,0,yes,yes,no,yes,yes,yes,yes,4,3.0,2,1,5,2.0,11,12.0,12,15.0,3.0,1.0,no
GP,F,R,GT3,T,2,2.0,at_home,other,reputation,mother,1.0,0,yes,yes,no,yes,yes,yes,no,4,3.0,1,1,2,8.0,14,11.0,12,15.0,1.0,1.0,no
GP,F,U,LE3,T,2,2.0,other,other,home,mother,2.0,0,no,yes,no,yes,no,yes,yes,3,3.0,3,1,3,16.0,11,11.0,10,16.0,2.0,2.0,yes
GP,M,U,LE3,T,4,4.0,teacher,other,home,other,1.0,0,no,yes,no,no,no,yes,yes,5,4.0,3,2,5,2.0,10,11.0,11,15.0,1.0,4.0,yes
GP,M,U,GT3,T,4,4.0,services,teacher,course,father,1.0,0,no,yes,no,yes,yes,yes,yes,4,3.0,3,1,5,2.0,14,15.0,15,15.0,2.0,1.0,no
GP,M,U,GT3,T,2,2.0,services,services,course,father,1.0,0,yes,yes,no,no,yes,yes,yes,5,4.0,1,1,1,0.0,9,10.0,10,15.0,1.0,1.0,no
GP,F,U,LE3,T,2,2.0,other,at_home,course,father,2.0,1,yes,no,no,yes,yes,yes,yes,4,3.0,3,2,5,14.0,10,11.0,11,16.0,2.0,2.0,no
GP,F,U,LE3,A,4,3.0,other,other,course,mother,1.0,0,yes,yes,yes,yes,yes,yes,yes,5,2.0,2,1,5,4.0,10,11.0,11,15.0,2.0,1.0,yes
GP,F,U,LE3,A,3,3.0,other,services,home,mother,1.0,0,no,yes,no,no,yes,yes,yes,2,3.0,5,1,3,6.0,13,12.0,13,16.0,2.0,4.0,no
GP,M,U,GT3,T,4,2.0,health,services,reputation,mother,1.0,0,no,no,no,yes,yes,yes,yes,4,2.0,2,1,2,2.0,17,17.0,17,16.0,4.0,1.0,no
GP,M,U,GT3,T,4,2.0,teacher,other,home,mother,1.0,0,no,yes,no,no,yes,yes,no,4,3.0,3,2,5,4.0,11,12.0,13,15.0,2.0,2.0,no
GP,F,U,GT3,T,4,4.0,services,teacher,other,father,1.0,0,yes,yes,no,yes,no,yes,yes,4,4.0,4,1,3,2.0,13,12.0,12,15.0,2.0,1.0,no
GP,F,U,LE3,T,2,2.0,services,services,course,mother,3.0,0,no,yes,no,no,yes,yes,yes,4,3.0,3,2,4,2.0,14,13.0,13,16.0,2.0,3.0,no
GP,F,U,LE3,T,4,2.0,health,other,other,mother,1.0,0,no,yes,no,no,yes,yes,yes,4,3.0,3,1,5,0.0,16,14.0,16,15.0,2.0,1.0,no
GP,M,U,LE3,A,4,2.0,health,health,other,father,2.0,0,no,no,no,no,yes,yes,no,5,5.0,5,3,5,4.0,10,9.0,9,15.0,1.0,4.0,no
GP,F,U,GT3,T,4,4.0,services,services,course,mother,1.0,0,yes,yes,no,no,yes,yes,yes,3,3.0,4,2,5,0.0,13,12.0,12,15.0,1.0,3.0,no
GP,F,U,LE3,A,3,3.0,other,other,other,mother,1.0,0,no,no,no,no,yes,yes,yes,5,3.0,4,4,1,0.0,13,12.0,13,15.0,1.0,4.0,no
GP,F,U,GT3,A,2,1.0,other,other,other,mother,1.0,0,no,no,no,yes,yes,yes,yes,5,3.0,4,1,2,2.0,12,11.0,12,16.0,2.0,1.0,yes
GP,F,U,GT3,A,4,2.0,services,services,reputation,mother,1.0,0,no,yes,no,yes,yes,yes,yes,4,3.0,2,1,1,0.0,15,14.0,15,15.0,2.0,1.0,no
GP,M,U,GT3,T,4,2.0,teacher,health,reputation,mother,1.0,0,no,yes,no,yes,yes,yes,no,3,2.0,2,1,5,8.0,15,15.0,16,15.0,2.0,1.0,no
GP,M,U,LE3,T,1,2.0,other,at_home,home,father,1.0,0,yes,yes,no,yes,yes,yes,yes,4,3.0,2,1,5,0.0,14,13.0,14,15.0,2.0,1.0,no
GP,F,U,GT3,T,4,2.0,services,other,course,mother,1.0,0,no,yes,yes,no,yes,yes,yes,4,2.0,3,1,5,2.0,16,15.0,16,16.0,2.0,1.0,no
GP,F,R,GT3,T,4,4.0,health,teacher,other,mother,1.0,0,no,yes,no,yes,yes,yes,no,2,4.0,4,2,4,0.0,17,11.0,16,16.0,2.0,3.0,no
GP,F,U,GT3,T,1,1.0,services,services,course,father,4.0,0,yes,yes,no,yes,no,yes,yes,5,5.0,5,5,5,0.0,10,10.0,16,16.0,1.0,5.0,yes
GP,F,U,LE3,T,1,2.0,other,services,reputation,father,1.0,0,yes,no,no,yes,yes,yes,yes,4,4.0,3,1,1,2.0,13,13.0,10,16.0,2.0,1.0,no
GP,F,U,GT3,T,4,3.0,teacher,health,home,mother,1.0,0,yes,yes,no,yes,yes,yes,yes,3,4.0,4,2,4,0.0,14,11.0,13,16.0,2.0,4.0,no
GP,F,U,LE3,T,4,3.0,services,services,reputation,father,1.0,0,yes,no,no,yes,yes,yes,yes,4,4.0,4,2,2,0.0,13,12.0,12,15.0,2.0,4.0,yes
GP,F,U,LE3,T,4,3.0,teacher,services,course,mother,3.0,0,no,yes,no,yes,yes,yes,yes,5,4.0,3,1,1,2.0,16,15.0,16,16.0,2.0,2.0,no
GP,M,U,GT3,A,4,4.0,other,services,reputation,mother,1.0,0,no,yes,no,yes,no,yes,yes,1,3.0,3,5,3,0.0,11,12.0,12,17.0,4.0,5.0,yes
GP,F,U,GT3,T,3,1.0,services,other,course,mother,1.0,0,yes,yes,no,no,yes,yes,yes,4,3.0,3,1,5,0.0,10,9.0,10,16.0,4.0,2.0,no
GP,F,R,LE3,T,2,2.0,health,services,reputation,mother,2.0,0,yes,yes,no,no,yes,yes,yes,4,1.0,3,1,4,0.0,11,10.0,11,15.0,2.0,3.0,no
GP,F,R,LE3,T,3,2.0,other,other,reputation,father,2.0,0,no,yes,no,no,no,yes,yes,4,4.0,2,2,3,6.0,15,15.0,15,15.0,2.0,3.0,no
GP,M,U,GT3,T,3,1.0,other,other,reputation,father,2.0,0,no,yes,no,no,yes,yes,yes,4,3.0,2,1,5,2.0,13,11.0,11,16.0,4.0,1.0,no
GP,M,U,GT3,T,4,2.0,other,other,course,mother,1.0,0,no,no,no,no,yes,yes,yes,3,3.0,3,1,3,0.0,11,9.0,10,17.0,4.0,1.0,no
GP,F,R,GT3,T,1,1.0,other,other,reputation,mother,1.0,0,yes,yes,no,no,no,yes,yes,3,3.0,4,2,5,2.0,13,11.0,11,15.0,2.0,4.0,yes
GP,M,U,GT3,T,3,1.0,other,other,reputation,mother,1.0,0,no,no,no,yes,yes,yes,no,5,3.0,2,2,5,0.0,13,13.0,14,16.0,1.0,2.0,no
GP,F,U,GT3,T,3,2.0,other,services,home,mother,1.0,0,yes,yes,no,yes,yes,yes,yes,4,3.0,3,2,5,2.0,11,11.0,11,16.0,2.0,4.0,no
GP,M,U,GT3,T,4,3.0,teacher,other,home,mother,1.0,0,no,yes,no,yes,yes,yes,yes,4,3.0,3,2,5,2.0,11,11.0,11,15.0,2.0,3.0,no
GP,M,U,GT3,T,4,0.0,teacher,other,course,mother,2.0,0,no,no,no,yes,yes,yes,yes,3,4.0,3,1,1,0.0,12,11.0,11,15.0,4.0,1.0,no
GP,F,U,GT3,T,2,2.0,other,other,reputation,mother,1.0,0,no,no,no,no,yes,yes,yes,5,3.0,3,1,3,1.0,13,13.0,13,16.0,4.0,3.0,yes
GP,M,U,GT3,T,2,1.0,other,other,home,mother,2.0,3,yes,yes,no,yes,yes,no,yes,4,5.0,1,1,3,0.0,9,9.0,10,17.0,1.0,1.0,no
GP,F,U,GT3,T,3,4.0,at_home,other,course,mother,1.0,0,no,yes,no,no,yes,yes,yes,2,4.0,3,1,3,14.0,12,11.0,11,17.0,2.0,2.0,no
GP,M,U,GT3,T,2,3.0,other,services,course,father,1.0,0,yes,yes,no,yes,no,yes,yes,3,2.0,2,1,3,0.0,11,11.0,12,15.0,1.0,3.0,yes
GP,M,U,GT3,T,2,3.0,other,other,home,mother,1.0,0,yes,no,no,no,no,yes,yes,5,3.0,2,1,5,2.0,10,9.0,9,15.0,3.0,2.0,no
GP,F,U,LE3,T,3,2.0,services,other,reputation,mother,1.0,0,no,yes,no,no,yes,yes,yes,4,4.0,4,1,5,2.0,12,11.0,11,15.0,2.0,1.0,no
GP,M,U,GT3,T,2,2.0,services,services,home,mother,2.0,0,no,no,yes,yes,yes,yes,yes,5,3.0,3,1,4,2.0,13,12.0,13,15.0,2.0,3.0,no
GP,F,U,GT3,T,1,1.0,other,other,home,father,1.0,0,no,yes,no,yes,no,yes,yes,4,3.0,2,2,4,2.0,13,12.0,12,17.0,2.0,3.0,no
GP,F,U,GT3,T,4,4.0,services,services,reputation,father,2.0,0,no,no,no,no,yes,yes,yes,4,4.0,4,2,5,4.0,12,11.0,12,15.0,2.0,3.0,yes
GP,F,U,LE3,T,2,2.0,at_home,other,course,mother,1.0,0,no,yes,no,no,yes,yes,no,4,3.0,4,1,2,6.0,13,11.0,11,16.0,2.0,2.0,no
GP,F,U,GT3,T,4,2.0,other,other,reputation,mother,1.0,0,no,yes,no,yes,yes,yes,yes,5,3.0,3,1,1,4.0,15,15.0,15,15.0,3.0,3.0,no
GP,M,U,GT3,T,2,2.0,services,other,reputation,father,2.0,0,no,no,no,yes,no,yes,yes,4,4.0,2,1,3,6.0,12,10.0,11,16.0,2.0,1.0,no
GP,M,U,LE3,A,4,4.0,teacher,health,reputation,mother,1.0,0,no,yes,no,no,yes,yes,no,4,3.0,3,3,5,2.0,9,11.0,10,16.0,2.0,5.0,no
GP,F,U,GT3,T,3,3.0,other,other,home,mother,1.0,0,no,yes,no,no,yes,yes,yes,4,3.0,3,1,4,2.0,9,11.0,11,16.0,3.0,3.0,yes
GP,F,U,GT3,T,4,3.0,services,other,reputation,mother,1.0,0,no,no,no,yes,yes,yes,yes,4,5.0,5,1,1,6.0,14,13.0,13,15.0,1.0,3.0,no
GP,F,U,LE3,T,3,1.0,other,other,home,father,1.0,0,yes,yes,no,no,yes,yes,no,3,3.0,3,2,2,0.0,12,13.0,12,16.0,2.0,3.0,no
GP,F,U,GT3,T,4,2.0,teacher,services,home,mother,2.0,0,no,yes,no,yes,yes,yes,yes,5,3.0,3,1,1,2.0,13,14.0,14,16.0,2.0,1.0,no
GP,M,U,LE3,T,2,2.0,services,health,reputation,mother,1.0,0,no,yes,no,yes,yes,yes,yes,4,3.0,4,1,4,2.0,11,12.0,12,15.0,4.0,1.0,no
GP,F,R,GT3,T,1,1.0,at_home,other,home,mother,2.0,0,yes,yes,yes,yes,yes,yes,yes,3,1.0,2,1,1,4.0,13,13.0,13,15.0,4.0,1.0,no
GP,M,R,GT3,T,4,2.0,services,other,reputation,mother,2.0,0,yes,yes,yes,yes,no,yes,yes,3,3.0,3,1,4,6.0,9,11.0,11,16.0,1.0,1.0,no
GP,F,U,GT3,T,2,1.0,other,other,course,mother,1.0,0,no,yes,no,no,yes,yes,no,4,3.0,5,1,5,0.0,13,12.0,12,16.0,2.0,1.0,yes
GP,F,U,GT3,T,4,4.0,other,other,reputation,mother,1.0,0,no,no,no,yes,no,yes,yes,5,3.0,4,1,1,4.0,12,13.0,13,16.0,1.0,2.0,no
GP,F,U,GT3,T,4,3.0,other,at_home,course,mother,1.0,0,yes,yes,no,no,yes,yes,yes,5,3.0,5,1,3,2.0,12,13.0,13,16.0,3.0,1.0,no
GP,M,U,GT3,T,4,4.0,services,services,other,mother,1.0,0,yes,yes,no,yes,yes,yes,yes,4,5.0,5,5,4,12.0,9,9.0,8,16.0,1.0,5.0,no
GP,M,U,GT3,T,4,4.0,services,teacher,other,father,1.0,0,no,yes,no,yes,yes,yes,yes,4,4.0,3,1,4,0.0,16,16.0,16,16.0,3.0,1.0,yes
GP,M,U,GT3,T,4,2.0,services,other,course,mother,1.0,0,no,yes,yes,yes,no,yes,yes,5,3.0,3,1,5,2.0,12,13.0,12,15.0,1.0,1.0,no
GP,F,U,GT3,T,3,2.0,services,other,home,mother,2.0,0,yes,yes,no,no,yes,yes,yes,4,3.0,5,1,2,16.0,11,10.0,10,15.0,2.0,1.0,no
GP,M,U,GT3,A,3,4.0,services,other,course,mother,1.0,0,no,yes,no,yes,yes,yes,yes,5,4.0,4,1,1,0.0,16,16.0,16,15.0,2.0,1.0,no
GP,F,U,GT3,A,3,3.0,other,health,reputation,father,1.0,0,yes,no,no,no,yes,yes,no,4,3.0,3,1,4,10.0,10,10.0,10,15.0,4.0,1.0,no
GP,F,U,GT3,T,2,2.0,other,other,course,mother,1.0,0,yes,yes,no,no,yes,yes,yes,5,1.0,2,1,3,4.0,10,10.0,10,15.0,2.0,1.0,no
GP,M,U,GT3,T,3,3.0,services,other,home,father,1.0,0,no,yes,no,yes,yes,yes,yes,5,3.0,3,1,5,4.0,13,14.0,14,16.0,3.0,1.0,no
GP,M,R,GT3,T,4,4.0,other,other,home,father,4.0,0,no,yes,no,yes,yes,yes,yes,1,3.0,5,3,1,8.0,12,10.0,11,17.0,4.0,5.0,yes
GP,F,U,LE3,T,4,4.0,health,health,other,mother,1.0,0,no,yes,no,yes,yes,yes,yes,5,4.0,5,1,4,2.0,15,15.0,14,16.0,3.0,1.0,yes
GP,M,U,LE3,A,4,4.0,teacher,teacher,course,mother,1.0,0,no,no,no,yes,yes,yes,yes,5,5.0,3,1,4,4.0,13,14.0,14,15.0,1.0,1.0,no
GP,F,R,GT3,T,3,3.0,services,other,reputation,father,1.0,0,yes,yes,no,yes,yes,yes,yes,4,1.0,2,1,2,4.0,11,11.0,11,16.0,3.0,1.0,no
GP,F,U,GT3,T,2,2.0,at_home,other,home,mother,1.0,1,yes,no,no,yes,yes,yes,yes,3,1.0,2,1,5,12.0,8,10.0,10,16.0,2.0,1.0,no
GP,M,U,LE3,T,4,2.0,teacher,other,course,mother,1.0,0,no,no,no,no,yes,yes,yes,3,5.0,2,1,3,10.0,18,17.0,18,15.0,1.0,1.0,no
GP,M,R,GT3,T,2,1.0,health,services,reputation,mother,1.0,0,no,no,no,yes,yes,yes,yes,5,4.0,2,1,5,4.0,10,9.0,10,15.0,2.0,1.0,yes
GP,M,U,GT3,T,4,2.0,teacher,teacher,course,father,1.0,0,no,yes,no,yes,yes,yes,yes,5,4.0,4,1,5,6.0,16,14.0,14,16.0,2.0,2.0,no
GP,M,U,GT3,T,4,4.0,other,teacher,reputation,father,1.0,0,no,yes,no,yes,yes,yes,no,4,4.0,3,1,2,4.0,16,15.0,16,15.0,2.0,1.0,no
GP,M,U,GT3,T,3,3.0,other,services,home,father,2.0,0,no,no,no,yes,yes,yes,yes,5,4.0,2,1,5,6.0,14,14.0,15,16.0,1.0,1.0,no
GP,M,R,GT3,T,1,3.0,other,other,course,father,3.0,1,no,yes,no,yes,yes,yes,yes,5,2.0,4,1,5,14.0,12,11.0,11,17.0,2.0,4.0,no
GP,M,U,GT3,T,3,4.0,other,other,reputation,father,1.0,0,no,no,no,no,yes,yes,yes,3,4.0,3,1,4,2.0,14,13.0,14,15.0,1.0,2.0,no
GP,F,U,GT3,T,1,2.0,at_home,services,course,mother,1.0,0,no,no,no,no,no,yes,yes,3,3.0,3,1,1,0.0,14,14.0,14,15.0,2.0,2.0,no
GP,M,U,GT3,T,2,2.0,services,services,home,father,1.0,0,no,yes,no,yes,yes,yes,yes,5,5.0,4,1,5,6.0,14,13.0,13,15.0,4.0,2.0,no
GP,F,U,LE3,T,2,4.0,other,health,course,father,2.0,0,no,yes,no,yes,yes,yes,yes,4,2.0,2,1,5,2.0,14,12.0,13,16.0,2.0,2.0,yes
GP,M,U,GT3,T,4,4.0,health,other,course,mother,1.0,0,no,yes,no,yes,yes,yes,yes,3,4.0,4,1,5,2.0,12,13.0,13,16.0,1.0,4.0,no
GP,F,U,GT3,T,2,2.0,other,other,home,mother,1.0,0,no,no,no,no,yes,yes,yes,5,4.0,4,1,5,0.0,12,11.0,11,16.0,2.0,1.0,yes
GP,M,U,GT3,T,3,4.0,services,services,home,father,1.0,0,yes,no,no,no,yes,yes,yes,5,5.0,5,3,5,2.0,9,9.0,9,15.0,1.0,2.0,no
GP,F,U,LE3,A,3,4.0,other,other,home,mother,1.0,0,yes,no,no,yes,yes,yes,yes,5,3.0,2,1,1,0.0,10,11.0,11,15.0,2.0,1.0,yes
